path,spot_id,frame,label
crops\spot_00\frame_000000_rect.jpg,0,0,occupied
crops\spot_00\frame_000015_rect.jpg,0,15,occupied
crops\spot_00\frame_000030_rect.jpg,0,30,occupied
crops\spot_00\frame_000045_rect.jpg,0,45,occupied
crops\spot_00\frame_000060_rect.jpg,0,60,occupied
crops\spot_00\frame_000075_rect.jpg,0,75,occupied
crops\spot_00\frame_000090_rect.jpg,0,90,occupied
crops\spot_00\frame_000105_rect.jpg,0,105,occupied
crops\spot_00\frame_000120_rect.jpg,0,120,occupied
crops\spot_00\frame_000135_rect.jpg,0,135,occupied
crops\spot_00\frame_000150_rect.jpg,0,150,occupied
crops\spot_00\frame_000165_rect.jpg,0,165,occupied
crops\spot_00\frame_000180_rect.jpg,0,180,occupied
crops\spot_00\frame_000195_rect.jpg,0,195,occupied
crops\spot_00\frame_000210_rect.jpg,0,210,occupied
crops\spot_00\frame_000225_rect.jpg,0,225,occupied
crops\spot_00\frame_000240_rect.jpg,0,240,occupied
crops\spot_00\frame_000255_rect.jpg,0,255,occupied
crops\spot_00\frame_000270_rect.jpg,0,270,occupied
crops\spot_00\frame_000285_rect.jpg,0,285,occupied
crops\spot_00\frame_000300_rect.jpg,0,300,occupied
crops\spot_00\frame_000315_rect.jpg,0,315,occupied
crops\spot_00\frame_000330_rect.jpg,0,330,occupied
crops\spot_00\frame_000345_rect.jpg,0,345,occupied
crops\spot_00\frame_000360_rect.jpg,0,360,occupied
crops\spot_00\frame_000375_rect.jpg,0,375,occupied
crops\spot_00\frame_000390_rect.jpg,0,390,occupied
crops\spot_00\frame_000405_rect.jpg,0,405,occupied
crops\spot_00\frame_000420_rect.jpg,0,420,occupied
crops\spot_00\frame_000435_rect.jpg,0,435,occupied
crops\spot_00\frame_000450_rect.jpg,0,450,occupied
crops\spot_00\frame_000465_rect.jpg,0,465,occupied
crops\spot_00\frame_000480_rect.jpg,0,480,occupied
crops\spot_00\frame_000495_rect.jpg,0,495,occupied
